"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"J5";"PinHeader_2x05_P1.27mm_Vertical";1;"Conn_ARM_JTAG_SWD_10";;;
2;"C1";"C_1206_3216Metric_Pad1.33x1.80mm_HandSolder";1;"1uF";;;
3;"C3,C5,C6,C2,C4";"C_1206_3216Metric_Pad1.33x1.80mm_HandSolder";5;"0.1uF";;;
4;"J3";"PinHeader_2x04_P2.54mm_Horizontal";1;"Conn_02x04_Male";;;
5;"R3,R4";"R_1206_3216Metric_Pad1.30x1.75mm_HandSolder";2;"220";;;
6;"H4,H1,H2,H3";"MountingHole_3.5mm_Pad_Via";4;"MountingHole_Pad_MP";;;
7;"R5,R21";"R_1206_3216Metric_Pad1.30x1.75mm_HandSolder";2;"120";;;
8;"J4";"USB_B_OST_USB-B1HSxx_Horizontal";1;"USB_B";;;
9;"R2,R1,R22";"R_1206_3216Metric_Pad1.30x1.75mm_HandSolder";3;"2.2k";;;
10;"SW2";"SW_SPST_TL3342";1;"SW_SPST";;;
11;"R6,R7";"R_1206_3216Metric_Pad1.30x1.75mm_HandSolder";2;"20K";;;
12;"R8";"R_1206_3216Metric_Pad1.30x1.75mm_HandSolder";1;"10K";;;
13;"D1,D2";"LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder";2;"LED";;;
14;"R9";"R_1206_3216Metric_Pad1.30x1.75mm_HandSolder";1;"1K";;;
15;"J2";"PinHeader_1x03_P2.54mm_Horizontal";1;"Conn_01x03_Male";;;
16;"U3";"SO-8_3.9x4.9mm_P1.27mm";1;"MAX3485";;;
17;"J6";"DSUB-9_Female_Horizontal_P2.77x2.84mm_EdgePinOffset4.94mm_Housed_MountingHolesOffset7.48mm";1;"DE9_Plug_MountingHoles";;;
18;"U2";"Seeeduino XIAO-MOUDLE14P-2.54-21X17.8MM";1;"SeeeduinoXIAO";;;
19;"J1";"PinHeader_1x04_P2.54mm_Horizontal";1;"Conn_01x02_Male";;;
20;"D3";"SOT-23";1;"SM712_SOT23";;;
